N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,        72.35,        72.68,        72.84,        72.26,        72.42,                  5237130.61,72244,609,        77.15,        66.00,SILVER
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       143.60,       144.50,       145.00,       143.60,       144.11,                 46741649.40,323644,3473,       158.62,        85.00,NIFTY SMALLCAP 250 INDEX
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       123.38,       124.49,       125.97,       123.93,       125.05,                  1791556.28,14320,153,       146.50,        90.00,NIFTY50 VALUE 20 INDEX (TRI)
N,EQ,HEALTHADD,DSPAMC - HEALTHADD,       119.34,       120.00,       121.31,       119.54,       120.47,                   120248.21,999,17,       132.00,       114.90,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       120.99,       124.60,       124.60,       119.60,       122.36,                  6022732.73,49234,290,       126.00,        75.76,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        12.16,        12.16,        12.34,        12.00,        12.24,                  3250079.86,265238,1113,        12.80,         6.55,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       242.54,       242.55,       250.40,       242.30,       246.11,                 27598609.88,112330,1644,       300.90,       225.95,HANG SENG INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        99.90,       102.90,       102.90,        99.91,       100.83,                 96146867.80,948717,4883,       107.85,        57.00,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       237.78,       240.98,       248.45,       235.94,       241.04,                    71519.75,297,23,       255.00,       176.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       856.33,       856.51,       866.99,       856.50,       864.02,                 15528655.66,17995,756,       889.70,       515.77,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        84.44,        85.35,        85.84,        84.01,        84.98,                 72821946.32,855302,3525,        87.00,        50.52,NIFTY INFRASTRUCTURE INDEX
